NCBI,Final symbol,Human
kcnh1,kcnh1 (1 of 3),KCNH1
LOC107395061,kcnh1 (2 of 3),KCNH1
LOC107382274,kcnh1 (3 of 3),KCNH1
LOC107387923,nxph1 (1 of 3),NXPH1
nxph1,nxph1 (2 of 3),NXPH1
LOC107395327,nxph1 (3 of 3),NXPH1
foxo1,foxo1 (1 of 2),FOXO1
LOC107386483,foxo1 (2 of 2),FOXO1
ccm2l,ccm2l,CCM2L
npc1l1,npc1l1,NPC1L1
LOC107379852,snap25 (1 of 3),SNAP25
snap25,snap25 (2 of 3),SNAP25
LOC107382039,snap25 (3 of 3),SNAP25
myc,myc (1 of 2),MYC
LOC107383716,myc (2 of 2),MYC
LOC107394701,bloc1s4,BLOC1S4
cstf1,cstf1,CSTF1
LOC107377430,LOC107377430,
LOC107385969,znf831,ZNF831
ero1b,ero1b,ERO1B
ttyh3,ttyh3 (1 of 2),TTYH3
LOC107389956,ttyh3 (2 of 2),TTYH3
LOC107386183,cnnm4 (1 of 2),CNNM4
LOC107395816,cnnm4 (2 of 2),CNNM4
LOC107386024,opcml,OPCML
LOC107386682,adss (1 of 2),ADSS
LOC107375820,adss (2 of 2),ADSS
pou1f1,pou1f1,POU1F1
tsc2,tsc2,TSC2
rab11fip5,rab11fip5 (1 of 2),RAB11FIP5
LOC107391828,rab11fip5 (2 of 2),RAB11FIP5
LOC107386485,cldn15 (1 of 3),CLDN15
cldn15,cldn15 (2 of 3),CLDN15
LOC107383743,cldn15 (3 of 3),CLDN10
parpbp,parpbp,PARPBP
reln,reln,RELN
LOC107384571,cd247 (1 of 2),CD247
cd247,cd247 (2 of 2),CD247
LOC107374579,LOC107374579,PLAUR
lrrc10b,lrrc10b,LRRC10B
dhx35,dhx35 (1 of 3),DHX35
LOC107396113,dhx35 (2 of 3),DHX35
LOC107376587,dhx35 (3 of 3),DHX35
LOC107380894,rerg (1 of 2),RERG
rerg,rerg (2 of 2),RERG
LOC107393461,megf9,MEGF9
LOC107386935,ugt2a3 (1 of 4),UGT2A2
LOC107386932,ugt2a3 (2 of 4),UGT2A3
LOC107386936,ugt2a3 (3 of 4),UGT2A2
LOC107386290,ugt2a3 (4 of 4),UGT2A2
lhx6,lhx6 (1 of 2),LHX6
LOC107386285,lhx6 (2 of 2),LHX6
LOC107379073,kcne1,KCNE1B
LOC107385524,lpin3,LPIN2
LOC107394432,tnc (1 of 7),TNXB
LOC107383986,tnc (2 of 7),TNXB
LOC107396649,tnc (3 of 7),TNC
LOC107372376,tnc (4 of 7),TNC
LOC107393478,tnc (5 of 7),TNC
LOC107372669,tnc (6 of 7),TNC
LOC107374860,tnc (7 of 7),TNC
hacd1,hacd1,HACD1
LOC107374831,LOC107374831,
LOC107393742,chrna3 (1 of 3),CHRNA3
LOC107377075,chrna3 (2 of 3),CHRNA3
LOC107381279,chrna3 (3 of 3),CHRNA3
figla,figla,FIGLA
gxylt2,gxylt2,GXYLT2
ipp,ipp,IPP
LOC107388485,dnajb9 (1 of 2),DNAJB9
LOC107384359,dnajb9 (2 of 2),DNAJB9
vat1,vat1 (1 of 2),VAT1
LOC107378574,vat1 (2 of 2),VAT1
dhrs3,dhrs3,DHRS3
spire1,spire1,SPIRE1
atp7b,atp7b (1 of 2),ATP7B
LOC107373213,atp7b (2 of 2),ATP7B
fastkd3,fastkd3,FASTKD3
bend5,bend5,BEND5
LOC107394008,gcnt1 (1 of 3),GCNT1
LOC107394005,gcnt1 (2 of 3),GCNT1
LOC107394006,gcnt1 (3 of 3),GCNT1
ybey,ybey,YBEY
fsd1l,fsd1l,FSD1L
LOC107373819,cd207,CD207
fgd6,fgd6 (1 of 2),FGD6
LOC107388588,fgd6 (2 of 2),FGD6
LOC107380927,LOC107380927,
enpep,enpep,ENPEP
tpo,tpo,TPO
fbxl7,fbxl7,FBXL7
ddx39a,ddx39a,DDX39B
nsfl1c,nsfl1c,NSFL1C
tmem167b,tmem167b,TMEM167B
LOC107384756,h2afz,H2AFZ
rer1,rer1,RER1
vmp1,vmp1,VMP1
galnt13,galnt13,GALNT13
lysmd3,lysmd3,LYSMD3
spag6,spag6,SPAG6
ran,ran,RAN
LOC107378860,laptm4b (1 of 2),LAPTM4B
LOC107394696,laptm4b (2 of 2),LAPTM4B
LOC107378645,LOC107378645,ZNF160
lipe,lipe (1 of 2),LIPE
LOC107394884,lipe (2 of 2),LIPE
zc3h15,zc3h15,ZC3H15
tmem244,tmem244 (1 of 2),TMEM244
LOC107379641,tmem244 (2 of 2),TMEM244
chst15,chst15 (1 of 2),CHST15
LOC107375978,chst15 (2 of 2),CHST15
tmem179,tmem179 (1 of 2),TMEM179
LOC107378203,tmem179 (2 of 2),TMEM179
ak4,ak4,AK4
atrnl1,atrnl1,ATRNL1
txnrd2,txnrd2,TXNRD2
atxn10,atxn10,ATXN10
arg2,arg2,ARG2
LOC107392141,map1s (1 of 2),MAP1B
map1s,map1s (2 of 2),MAP1S
tmsb4x,tmsb4x (1 of 2),TMSB4X
LOC107395803,tmsb4x (2 of 2),TMSB4X
ccdc9,ccdc9,CCDC9
LOC107396720,spaca6,
gab2,gab2,GAB2
nmt2,nmt2,NMT2
crtc1,crtc1,CRTC1
LOC107384083,prkab2,PRKAB2
birc7,birc7,XIAP
LOC107387710,cela2a,CELA2A
hltf,hltf,HLTF
csgr16h14orf28,c14orf28,C14orf28
dnph1,dnph1,DNPH1
bcl6,bcl6 (1 of 2),BCL6
LOC107396215,bcl6 (2 of 2),BCL6
gpnmb,gpnmb,GPNMB
tshr,tshr (1 of 2),TSHR
LOC107395090,tshr (2 of 2),TSHR
gpr160,gpr160,GPR160
ano3,ano3,ANO3
phkb,phkb,PHKB
LOC107383818,kiss1r,KISS1R
LOC107391648,syne2 (1 of 7),SYNE2
LOC107377793,syne2 (2 of 7),SYNE2
syne2,syne2 (3 of 7),SYNE2
LOC107379857,syne2 (4 of 7),SYNE2
LOC107391649,syne2 (5 of 7),SYNE2
LOC107391646,syne2 (6 of 7),SYNE2
LOC107391552,syne2 (7 of 7),SYNE2
actl6a,actl6a,ACTL6A
smarcc2,smarcc2,SMARCC2
hlcs,hlcs,HLCS
LOC107383866,hist1h2ba,HIST1H2BL
elac1,elac1,ELAC1
LOC107373487,znf845,ZNF721
LOC107392139,shf (1 of 2),SHD
shf,shf (2 of 2),SHF
sf3a1,sf3a1,SF3A1
pccb,pccb,PCCB
pde6h,pde6h (1 of 3),PDE6H
LOC107382209,pde6h (2 of 3),PDE6H
LOC107381234,pde6h (3 of 3),PDE6H
neurl2,neurl2,NEURL2
LOC107386128,actb (1 of 2),ACTB
actb,actb (2 of 2),ACTG1
LOC107384074,akna (1 of 2),AKNAD1
LOC107375123,akna (2 of 2),AKNA
vipr1,vipr1 (1 of 2),VIPR1
LOC107384262,vipr1 (2 of 2),VIPR1
musk,musk,MUSK
tbca,tbca,TBCA
LOC107384962,cox6c,COX6C
tmprss7,tmprss7,TMPRSS7
LOC107395406,eef2kmt (1 of 2),EEF2KMT
LOC107372989,eef2kmt (2 of 2),EEF2KMT
pcmt1,pcmt1 (1 of 2),PCMT1
LOC107392292,pcmt1 (2 of 2),PCMT1
znf622,znf622,ZNF622
LOC107396727,c1ql3 (1 of 3),C1QL3
LOC107383830,c1ql3 (2 of 3),C1QL3
LOC107390868,c1ql3 (3 of 3),C1QL2
LOC107383473,arhgap30,ARHGAP30
henmt1,henmt1,HENMT1
LOC107375040,LOC107375040,GZMH
LOC107382405,ascl4,ASCL4
lama5,lama5,LAMA5
mmd,mmd,MMD
LOC107387028,mlxipl,MLXIP
LOC107378051,smad5,SMAD5
LOC107385013,phc2 (1 of 2),PHC2
LOC107391374,phc2 (2 of 2),PHC2
nlrc5,nlrc5,NLRC5
dbt,dbt,DBT
LOC107381689,il1fma,IL36G
jazf1,jazf1 (1 of 2),JAZF1
LOC107395570,jazf1 (2 of 2),JAZF1
znf346,znf346,ZNF346
LOC107385062,trim35 (1 of 11),TRIM35
LOC107376167,trim35 (2 of 11),TRIM35
LOC107386498,trim35 (3 of 11),TRIM35
LOC107384925,trim35 (4 of 11),TRIM35
LOC107386219,trim35 (5 of 11),TRIM35
LOC107386220,trim35 (6 of 11),TRIM35
LOC107383704,trim35 (7 of 11),TRIM35
LOC107384923,trim35 (8 of 11),TRIM7
LOC107386259,trim35 (9 of 11),TRIM35
LOC107384864,trim35 (10 of 11),TRIM35
LOC107379545,trim35 (11 of 11),TRIM35
fosl1,fosl1,FOSL2
znf423,znf423,ZNF423
clip3,clip3,CLIP3
csgr13hxorf56,csgr13hxorf56,CXorf56
LOC107388552,cib2 (1 of 2),CIB2
LOC107381514,cib2 (2 of 2),CIB2
igfbp2,igfbp2 (1 of 2),IGFBP2
LOC107373701,igfbp2 (2 of 2),IGFBP2
cdo1,cdo1,CDO1
LOC107390946,tnni1 (1 of 5),TNNI1
LOC107388480,tnni1 (2 of 5),TNNI1
LOC107379801,tnni1 (3 of 5),TNNI1
LOC107385035,tnni1 (4 of 5),TNNI1
LOC107388478,tnni1 (5 of 5),TNNI1
kif20b,kif20b (1 of 3),KIF20B
LOC107376726,kif20b (2 of 3),KIF20B
LOC107386063,kif20b (3 of 3),
arpc3,arpc3,ARPC3
actc1,actc1 (1 of 4),ACTC1
LOC107395987,actc1 (2 of 4),ACTC1
LOC107392454,actc1 (3 of 4),ACTC1
LOC107377808,actc1 (4 of 4),ACTC1
LOC107384047,scn8a (1 of 2),SCN8A
LOC107390838,scn8a (2 of 2),SCN8A
wipf2,wipf2 (1 of 3),WIPF2
LOC107372850,wipf2 (2 of 3),WIPF2
LOC107395200,wipf2 (3 of 3),WIPF2
fars2,fars2,FARS2
stoml2,stoml2,STOML2
egflam,egflam,EGFLAM
ttc38,ttc38,TTC38
LOC107388669,epx (1 of 2),TPO
LOC107372911,epx (2 of 2),EPX
prmt6,prmt6,PRMT6
irx3,irx3 (1 of 2),IRX1
LOC107385526,irx3 (2 of 2),TGIF2
fam161b,fam161b,FAM161B
zbbx,zbbx,ZBBX
tube1,tube1 (1 of 2),TUBE1
LOC107374464,tube1 (2 of 2),TUBE1
LOC107380555,or52j3,OR52N5
kdm6b,kdm6b (1 of 2),KDM6B
LOC107386615,kdm6b (2 of 2),KDM6B
pink1,pink1,PINK1
LOC107372433,LOC107372433,
irf6,irf6,IRF6
aldh6a1,aldh6a1,ALDH6A1
zdhhc16,zdhhc16 (1 of 2),ZDHHC16
LOC107375647,zdhhc16 (2 of 2),ZDHHC16
LOC107375001,LOC107375001,
LOC107376188,syngr2 (1 of 2),SYNGR1
syngr2,syngr2 (2 of 2),SYNGR1
wnk4,wnk4 (1 of 2),WNK4
LOC107390303,wnk4 (2 of 2),WNK4
tm2d2,tm2d2,TM2D2
rmi1,rmi1,RMI1
arrb1,arrb1,ARRB1
znf721,znf721,ZNF45
LOC107395305,LOC107395305,
LOC107385408,nat8 (1 of 3),NAT8
LOC107391882,nat8 (2 of 3),NAT8
LOC107391881,nat8 (3 of 3),NAT8
med6,med6,MED6
clpx,clpx,CLPX
ect2l,ect2l,ECT2L
elovl5,elovl5,ELOVL5
foxd4,foxd4,FOXD4
LOC107385653,cyp27b1,CYP27B1
LOC107385134,hyal2 (1 of 3),HYAL2
hyal2,hyal2 (2 of 3),HYAL2
LOC107389503,hyal2 (3 of 3),HYAL4
xpnpep2,xpnpep2,XPNPEP2
etv6,etv6,ETV6
tmem208,tmem208,TMEM208
LOC107389157,ces5a,CES2
LOC107377452,usp53 (1 of 2),USP53
LOC107375312,usp53 (2 of 2),USP53
dct,dct,DCT
LOC107394419,deptor (1 of 2),DEPTOR
deptor,deptor (2 of 2),DEPTOR
LOC107387200,gsg1 (1 of 8),GSG1L
LOC107392766,gsg1 (2 of 8),GSG1L
LOC107394841,gsg1 (3 of 8),GSG1L
LOC107372659,gsg1 (4 of 8),GSG1L
gsg1,gsg1 (5 of 8),GSG1L
LOC107379689,gsg1 (6 of 8),GSG1L
LOC107374176,gsg1 (7 of 8),GSG1L
LOC107395335,gsg1 (8 of 8),GSG1L2
slc45a1,slc45a1,SLC45A1
ppp2r5d,ppp2r5d,PPP2R5D
LOC107372904,LOC107372904,
LOC107377913,LOC107377913,
aaas,aaas,AAAS
mrpl30,mrpl30,RP11-111H13.1
srgap3,srgap3 (1 of 3),SRGAP3
LOC107385184,srgap3 (2 of 3),SRGAP3
LOC107390989,srgap3 (3 of 3),SRGAP3
parp3,parp3 (1 of 2),PARP3
LOC107393831,parp3 (2 of 2),
emsy,emsy,EMSY
LOC107397322,peak1 (1 of 2),PEAK1
peak1,peak1 (2 of 2),PEAK1
mospd1,mospd1,MOSPD1
LOC107384728,camk2d (1 of 2),CAMK2D
LOC107382167,camk2d (2 of 2),CAMK2D
dcakd,dcakd,DCAKD
LOC107375927,LOC107375927,
LOC107388495,yaf2 (1 of 2),YAF2
yaf2,yaf2 (2 of 2),YAF2
LOC107376679,ypel3,YPEL3
LOC107376082,cnrip1 (1 of 2),CNRIP1
LOC107394126,cnrip1 (2 of 2),CNRIP1
LOC107393177,hdgfrp2,CTB-50L17.10
LOC107385045,kcna3 (1 of 3),KCNA3
LOC107390963,kcna3 (2 of 3),KCNA3
LOC107388475,kcna3 (3 of 3),KCNA3
ogfod2,ogfod2,OGFOD2
vangl2,vangl2 (1 of 2),VANGL2
LOC107377170,vangl2 (2 of 2),VANGL2
LOC107373779,LOC107373779,
atp2a3,atp2a3,ATP2A2
themis2,themis2,THEMIS2
sbno2,sbno2,SBNO2
LOC107396141,apba1 (1 of 2),APBA1
LOC107375109,apba1 (2 of 2),APBA1
tradd,tradd,TRADD
ino80c,ino80c,INO80C
LOC107379916,ddit4 (1 of 3),DDIT4L
ddit4,ddit4 (2 of 3),DDIT4
LOC107396324,ddit4 (3 of 3),DDIT4
fzd8,fzd8 (1 of 2),FZD8
LOC107383432,fzd8 (2 of 2),FZD8
rundc3b,rundc3b,RUNDC3B
tas1r2,tas1r2,TAS1R1
vps37d,vps37d,VPS37B
nol6,nol6,NOL6
sfi1,sfi1,SFI1
LOC107393175,safb2,SAFB
LOC107387714,syt15,ABC7-42404400C24.1
omg,omg (1 of 2),OMG
LOC107386587,omg (2 of 2),OMG
fam89a,fam89a,FAM89A
mcm2,mcm2,MCM2
LOC107373763,hibadh (1 of 2),HIBADH
hibadh,hibadh (2 of 2),HIBADH
LOC107390848,galnt6 (1 of 2),GALNT6
LOC107391213,galnt6 (2 of 2),GALNT6
LOC107381341,slc38a8 (1 of 2),SLC38A8
LOC107389195,slc38a8 (2 of 2),SLC38A8
ctxn1,ctxn1,CTXN2
pde6c,pde6c,PDE6C
dhcr24,dhcr24,DHCR24
pex26,pex26,PEX26
LOC107384071,ticam1,TICAM1
LOC107392968,fndc7 (1 of 8),FNDC7
LOC107392989,fndc7 (2 of 8),FNDC7
LOC107384079,fndc7 (3 of 8),FNDC7
LOC107392628,fndc7 (4 of 8),FNDC7
LOC107384078,fndc7 (5 of 8),FNDC7
LOC107384433,fndc7 (6 of 8),FNDC7
LOC107392980,fndc7 (7 of 8),FNDC7
LOC107392962,fndc7 (8 of 8),FNDC7
slc22a18,slc22a18,SLC22A18
ppfibp1,ppfibp1 (1 of 2),PPFIBP1
LOC107386658,ppfibp1 (2 of 2),PPFIBP1
srebf1,srebf1,SREBF1
slc25a26,slc25a26,SLC25A26
slitrk5,slitrk5 (1 of 2),SLITRK5
LOC107389960,slitrk5 (2 of 2),SLITRK5
ube4b,ube4b,UBE4B
LOC107383147,cyb5a (1 of 2),CYB5A
LOC107381353,cyb5a (2 of 2),CYB5A
atg7,atg7,ATG7
ddx52,ddx52,DDX52
nop56,nop56,NOP56
pcdh9,pcdh9,PCDH9
LOC107396753,LOC107396753,
LOC107396162,mast2 (1 of 2),MAST2
LOC107396161,mast2 (2 of 2),MAST2
LOC107397086,rtn4 (1 of 3),RTN4
LOC107373378,rtn4 (2 of 3),RTN4
LOC107389469,rtn4 (3 of 3),RTN4
LOC107397362,znf394,ZNF570
trnt1,trnt1,TRNT1
rttn,rttn,RTTN
fam114a1,fam114a1,FAM114A1
dyrk2,dyrk2,DYRK2
LOC107395855,slc5a7 (1 of 3),SLC5A7
LOC107388827,slc5a7 (2 of 3),SLC5A7
LOC107381154,slc5a7 (3 of 3),SLC5A7
zbtb8b,zbtb8b,ZBTB8B
LOC107372326,nitr9 (1 of 4),
LOC107376768,nitr9 (2 of 4),SIRPB1
LOC107372328,nitr9 (3 of 4),SIRPB2
LOC107372327,nitr9 (4 of 4),F11R
fam136a,fam136a,FAM136A
csgr17h19orf25,csgr17h19orf25,C19orf25
kank4,kank4 (1 of 2),KANK4
LOC107384397,kank4 (2 of 2),KANK4
kdm4a,kdm4a (1 of 3),KDM4A
LOC107396932,kdm4a (2 of 3),KDM4A
LOC107396931,kdm4a (3 of 3),KDM4A
prkci,prkci,PRKCI
LOC107381668,il18rap,IL18RAP
ccdc151,ccdc151,CCDC151
LOC107375201,serping1,SERPING1
LOC107386662,tmem211,TMEM211
LOC107390359,c3 (1 of 4),C3
c3,c3 (2 of 4),C3
LOC107391131,c3 (3 of 4),C3
LOC107395212,c3 (4 of 4),C3
cacna1s,cacna1s,CACNA1S
LOC107379821,tgfb1,TGFB1
LOC107396855,pcdhga5 (1 of 2),PCDHGA5
LOC107396869,pcdhga5 (2 of 2),PCDHGA5
pdcd11,pdcd11,PDCD11
sephs1,sephs1,SEPHS1
get4,get4,GET4
nrde2,nrde2,NRDE2
ace2,ace2,ACE2
lats1,lats1,LATS1
fat1,fat1 (1 of 4),FAT1
LOC107381928,fat1 (2 of 4),FAT1
LOC107379285,fat1 (3 of 4),FAT1
LOC107389069,fat1 (4 of 4),FAT1
LOC107397193,crfb17,
LOC107383295,dync1i1 (1 of 2),DYNC1I1
LOC107383294,dync1i1 (2 of 2),DYNC1I1
rps29,rps29,RPS29
LOC107389258,olfml3 (1 of 3),OLFM4
LOC107374912,olfml3 (2 of 3),OLFML3
LOC107385662,olfml3 (3 of 3),OLFML3
LOC107381011,sftpd (1 of 2),SFTPD
LOC107372896,sftpd (2 of 2),SFTPD
rangap1,rangap1 (1 of 2),RANGAP1
LOC107388217,rangap1 (2 of 2),RANGAP1
ints6,ints6,INTS6
tstd3,tstd3,TSTD1
LOC107377528,drc1,DRC1
ablim2,ablim2,ABLIM2
naxd,naxd,CARKD
lrp1b,lrp1b,LRP1B
trmt61a,trmt61a,TRMT61A
ube2c,ube2c,UBE2C
LOC107378667,pon2 (1 of 2),PON2
LOC107378669,pon2 (2 of 2),PON3
sun2,sun2,SUN2
acta2,acta2,ACTA2
cenpm,cenpm,CENPM
ruvbl1,ruvbl1,RUVBL1
col6a1,col6a1,COL6A1
slc3a1,slc3a1,SLC3A1
LOC107383811,ccdc24,CCDC24
fbxo33,fbxo33,FBXO33
tmem222,tmem222 (1 of 2),TMEM222
LOC107396943,tmem222 (2 of 2),TMEM222
LOC107379338,and3,
ppil4,ppil4,PPIL4
ror2,ror2,ROR2
mpp7,mpp7 (1 of 2),MPP7
LOC107384320,mpp7 (2 of 2),MPP7
LOC107378632,serinc2,SERINC1
rnf126,rnf126 (1 of 2),RNF126
LOC107384098,rnf126 (2 of 2),RNF126
LOC107393226,tor1aip1,TOR1AIP1
dlat,dlat,DLAT
amfr,amfr,AMFR
rbm15,rbm15,RBM15
LOC107377674,capn3 (1 of 2),CAPN3
capn3,capn3 (2 of 2),CAPN3
acta1,acta1,ACTC1
LOC107390306,nme2 (1 of 2),NME2
LOC107396703,nme2 (2 of 2),NME2
mrps16,mrps16,MRPS16
ccdc174,ccdc174,CCDC174
LOC107382331,hn1 (1 of 2),HN1
hn1,hn1 (2 of 2),HN1
LOC107375473,prop1,PROP1
LOC107388875,lep,
csgr11h9orf84,csgr11h9orf84,C9orf84
LOC107390618,LOC107390618,
LOC107395037,LOC107395037,C5orf22
wsb1,wsb1,WSB1
hipk3,hipk3 (1 of 3),HIPK3
LOC107373320,hipk3 (2 of 3),HIPK3
LOC107389218,hipk3 (3 of 3),HIPK3
LOC107379146,afp4,
gpsm1,gpsm1 (1 of 3),GPSM1
LOC107379156,gpsm1 (2 of 3),GPSM1
LOC107386202,gpsm1 (3 of 3),GPSM1
LOC107396554,cbx1 (1 of 3),CBX1
cbx1,cbx1 (2 of 3),CBX1
LOC107381949,cbx1 (3 of 3),CBX1
LOC107372634,znf449 (1 of 3),ZNF449
LOC107395358,znf449 (2 of 3),ZKSCAN3
LOC107384608,znf449 (3 of 3),ZNF449
LOC107380423,LOC107380423,
scyl2,scyl2,SCYL2
LOC107396018,LOC107396018,
LOC107396216,fam78b (1 of 2),FAM78B
LOC107393274,fam78b (2 of 2),FAM78B
LOC107372956,LOC107372956,
taldo1,taldo1,TALDO1
LOC107373140,l1cam (1 of 5),L1CAM
LOC107390570,l1cam (2 of 5),L1CAM
l1cam,l1cam (3 of 5),L1CAM
LOC107373525,l1cam (4 of 5),L1CAM
LOC107395622,l1cam (5 of 5),L1CAM
ddx10,ddx10,DDX10
atf6,atf6,ATF6
LOC107381798,kcnq1 (1 of 2),KCNQ1
LOC107388414,kcnq1 (2 of 2),KCNQ1
acox1,acox1,ACOX1
LOC107385159,slc2a11 (1 of 3),SLC2A11
LOC107393950,slc2a11 (2 of 3),SLC2A9
LOC107393945,slc2a11 (3 of 3),SLC2A9
tlcd2,tlcd2,TLCD2
LOC107392216,cldn23 (1 of 2),CLDN23
LOC107396934,cldn23 (2 of 2),CLDN23
gipc3,gipc3,GIPC3
hoxc13,hoxc13,HOXC13
mrpl37,mrpl37,MRPL37
LOC107374456,LOC107374456,
LOC107394907,LOC107394907,
LOC107388708,pias1 (1 of 2),PIAS1
LOC107381742,pias1 (2 of 2),PIAS1
cep152,cep152,CEP152
LOC107392262,LOC107392262,
set,set (1 of 2),SET
LOC107386041,set (2 of 2),SET
clul1,clul1,CLUL1
LOC107388347,tll1,TLL1
mab21l2,mab21l2,MAB21L2
rft1,rft1,RFT1
wdr45,wdr45,WDR45
LOC107377721,riox1,C14orf169
dcun1d4,dcun1d4,DCUN1D4
LOC107387928,cenpt,CENPT
pex5l,pex5l (1 of 2),PEX5L
LOC107374170,pex5l (2 of 2),PEX5L
LOC107393023,brinp3 (1 of 4),BRINP3
LOC107393024,brinp3 (2 of 4),BRINP3
LOC107384195,brinp3 (3 of 4),BRINP3
LOC107384423,brinp3 (4 of 4),BRINP3
hmg20a,hmg20a,HMG20A
LOC107390905,nr1d2 (1 of 3),NR1D2
LOC107379176,nr1d2 (2 of 3),NR1D2
LOC107383245,nr1d2 (3 of 3),NR1D2
glt1d1,glt1d1,GLT1D1
apex1,apex1 (1 of 2),APEX1
LOC107385925,apex1 (2 of 2),APEX1
LOC107389093,lamb4,LAMB4
LOC107386791,jakmip2,JAKMIP2
bcl6b,bcl6b (1 of 2),BCL6
LOC107394582,bcl6b (2 of 2),ZNF853
vat1l,vat1l,VAT1L
LOC107387734,tha1,
wdr74,wdr74,WDR74
met,met (1 of 2),MET
LOC107385843,met (2 of 2),MET
pnkp,pnkp,PNKP
grin2a,grin2a (1 of 3),GRIN2A
LOC107376283,grin2a (2 of 3),GRIN2B
LOC107388927,grin2a (3 of 3),GRIN2A
LOC107392019,gimap2 (1 of 2),GIMAP4
LOC107381705,gimap2 (2 of 2),GIMAP5
zbtb2,zbtb2,ZBTB2
LOC107376142,srsf4 (1 of 2),SRRM5
LOC107395731,srsf4 (2 of 2),SRSF4
LOC107396584,retsat (1 of 3),RETSAT
retsat,retsat (2 of 3),RETSAT
LOC107387676,retsat (3 of 3),RETSAT
nckap1,nckap1,NCKAP1
stab1,stab1,STAB1
atp5d,atp5d,ATP5D
LOC107378666,csnk2a1,CSNK2A3
mpnd,mpnd,MPND
LOC107376693,cfap53,CFAP53
LOC107382264,myh9 (1 of 3),MYH9
LOC107392722,myh9 (2 of 3),
LOC107376217,myh9 (3 of 3),MYH9
nudt19,nudt19,NUDT19
LOC107389372,sdpr (1 of 2),SDPR
LOC107380844,sdpr (2 of 2),SDPR
LOC107387907,pcdh15 (1 of 4),PCDH15
LOC107387906,pcdh15 (2 of 4),PCDH15
pcdh15,pcdh15 (3 of 4),PCDH15
LOC107387904,pcdh15 (4 of 4),PCDH15
rad54l,rad54l,RAD54L
paip2b,paip2b,PAIP2B
LOC107391041,spink2,SPINK1
rps24,rps24,RPS24
