ncbi	human
LOC107385624	NEUROD4
LOC107395439	CLASP1
LOC107385712	PFKFB4
LOC107385493	FAM219A
mastl	MASTL
tmcc1	TMCC1
LOC107372545	ZBED1
LOC107378759	CCR1
LOC107377991	STX7
dbf4	DBF4
ubiad1	UBIAD1
snx1	SNX1
csgr03h17orf75	C17orf75
csgr02h18orf25	C18orf25
slc35d1	SLC35D1
dlx5	DLX5
sra1	SRA1
LOC107394281	GPAT3
LOC107389706	SHOX
LOC107376323	ZNF235
LOC107379301	CD22
papd5	PAPD5
LOC107381213	NRBP1
LOC107381863	ABO
LOC107374183	OR1C1
LOC107390601	ZBED1
LOC107374948	COL5A1
timm17b	TIMM17B
dnph1	DNPH1
LOC107378442	STAT5B
sbf1	SBF1
mvk	MVK
LOC107378166	TSPAN7
mus81	MUS81
qdpr	QDPR
nhs	NHS
ttl	TTL
csgr02h5orf42	C5orf42
LOC107396352	RHOG
LOC107380318	TMPRSS4
LOC107376412	ZNF318
LOC107397163	TMEM132C
LOC107392806	B3GNT3
LOC107372540	MAP3K19
ifi30	IFI30
mrpl40	MRPL40
osbpl7	OSBPL6
LOC107393718	CHRNB3
tatdn3	TATDN3
LOC107397009	RPTN
snupn	SNUPN
LOC107378722	TRIM25
nedd1	NEDD1
nipbl	NIPBL
LOC107387721	ST6GALNAC1
hexa	HEXB
hoxc6	HOXC6
xylt1	XYLT2
LOC107379233	GNRHR
LOC107397252	ATP6V1C1
mycbp	MYCBP
dis3l	DIS3L
LOC107376532	CBX4
LOC107386268	LRRC8A
LOC107380803	ZP3
bicd1	BICD1
glt8d1	GLT8D1
gemin2	GEMIN2
nr2e3	NR2E3
LOC107395697	PI4KA
LOC107377110	PRSS8
plcxd1	PLCXD1
nr2f1	NR2F1
dcp1a	DCP1A
LOC107376011	COL17A1
LOC107376946	MGEA5
rab35	RAB35
LOC107380105	ZBTB16
LOC107395677	B4GALT1
znf367	ZNF367
LOC107385886	OR2T4
LOC107393976	UBB
chmp6	CHMP6
aar2	AAR2
rnf8	RNF8
ptpn21	PTPN21
dcaf6	DCAF6
LOC107373231	SAMD3
LOC107373826	GRAP2
crnkl1	CRNKL1
LOC107393262	ABHD17C
LOC107375093	CCNG2
LOC107384419	SERBP1
pigu	PIGU
LOC107372989	EEF2KMT
csgr18h9orf3	C9orf3
LOC107391461	MECP2
LOC107384023	TINAG
LOC107373490	ZNF568
LOC107395534	OR10A6
LOC107387381	GLMN
sgip1	SGIP1
LOC107377617	FAM150B
LOC107379086	GABBR1
gchfr	GCHFR
ano1	ANO1
sipa1l2	SIPA1L2
igfbp4	IGFBP4
LOC107385416	TTLL8
slc5a3	SLC5A3
ccdc181	CCDC181
med12	MED12
LOC107377055	PARP14
epha4	EPHA4
LOC107394897	ZBTB22
LOC107379835	SYNDIG1
LOC107375910	SCD
garem2	GAREM2
vprbp	VPRBP
LOC107393650	SYN1
smchd1	SMCHD1
yes1	YES1
cdk7	CDK7
rdh13	RDH13
hoxd3	HOXD3
LOC107381216	USH2A
galnt7	GALNT7
LOC107372974	PCDHGA6
LOC107384492	TMEM125
tmem144	TMEM144
slc30a7	SLC30A7
LOC107387906	PCDH15
LOC107372629	NINL
gcat	GCAT
LOC107374524	NR2F6
bcl6	BCL6
rps15a	RPS15A
atp5b	ATP5B
LOC107390924	HNRNPA1
LOC107372921	CHML
LOC107385900	HESX1
rnf216	RNF216
samd11	SAMD11
LOC107392112	TNPO2
LOC107378688	TWIST2
brdt	BRDT
LOC107385118	TKT
LOC107385614	TANK
LOC107376213	DDX39B
clcf1	CLCF1
plekhs1	PLEKHS1
shmt2	SHMT2
LOC107372716	COL21A1
nfyc	NFYC
LOC107381221	ZBED4
p2rx6	P2RX2
stxbp5l	STXBP5L
LOC107376907	CYP26B1
LOC107389958	PCDH8
LOC107382355	ZNF638
LOC107372555	ZNF225
fbxo7	FBXO7
LOC107392563	FILIP1
LOC107381300	SYT9
LOC107394339	ACSBG2
scml2	SCML2
LOC107383595	ATCAY
clcn7	CLCN7
LOC107376701	SEC14L1
adgra3	ADGRA3
acot7	ACOT7
ppp6r3	PPP6R3
LOC107382950	MYRIP
dkk1	DKK1
klhdc3	KLHDC3
LOC107373447	SRPK3
LOC107387951	PPP1CC
LOC107380700	BNIPL
csgr06h11orf53	C11orf53
slc6a17	SLC6A17
LOC107384348	CA2
LOC107376883	CABP4
poli	POLI
LOC107391964	TULP4
LOC107390873	B4GALNT1
LOC107388423	AKR1D1
LOC107386825	IRF1
snapc2	SNAPC2
LOC107395368	CYP2J2
LOC107377946	INA
LOC107373549	CCL25
LOC107372785	CSMD3
LOC107387686	COX10
LOC107393910	HOMER1
LOC107374676	ITPKB
LOC107390357	P2RY1
dfnb59	DFNB59
LOC107393549	CSMD2
LOC107394916	TLN1
LOC107390070	FAP
iyd	IYD
LOC107382445	SLIT1
pbx1	PBX1
zfhx2	ZFHX2
LOC107390348	ARHGEF7
nfrkb	NFRKB
LOC107379409	FTH1
ngb	NGB
LOC107377006	CRYBB1
rftn2	RFTN2
lrtm2	LRTM2
trub2	TRUB2
plbd1	PLBD1
LOC107389363	OR1N1
LOC107394705	SERPINB1
znf276	ZNF276
dnah10	DNAH10
dlx6	DLX6
LOC107377419	RARRES3
s100z	S100Z
rpl9	RPL9
LOC107373988	PTRH2
LOC107377263	THAP4
synj1	SYNJ1
tdrp	TDRP
LOC107396891	ZNF28
LOC107388941	ZP1
LOC107395748	MYL4
dock4	DOCK4
LOC107392766	GSG1L
LOC107397366	ANXA3
pea15	PEA15
tmem161a	TMEM161A
LOC107375723	LGI1
eif4a2	EIF4A2
LOC107373469	PCDHGA2
plk3	PLK3
csgr04h20orf27	C20orf27
gpnmb	GPNMB
LOC107376909	EXOC6B
LOC107378100	EVL
LOC107380996	CLDN10
LOC107387681	SGCE
LOC107386396	BRD8
fgf2	FGF2
smyd5	SMYD5
scnm1	SCNM1
igflr1	IGFLR1
LOC107378164	NAGK
cisd3	CISD3
LOC107396365	GFI1
LOC107394981	KCNN2
tmem163	TMEM163
LOC107384862	NUDT4
LOC107387373	GNG7
LOC107378171	IMPG2
timm50	TIMM50
polr1e	POLR1E
LOC107384850	ASCL5
nadk	NADK
megf11	MEGF11
LOC107374175	C16orf89
tfap2e	TFAP2B
heatr1	HEATR1
cfap58	CFAP58
LOC107381708	PDE8A
LOC107396427	CCDC175
LOC107381845	APH1A
LOC107374126	MESP2
cenpu	CENPU
LOC107373502	ICK
spata2l	SPATA2
LOC107396185	HERC2
LOC107387228	RAB32
LOC107384512	ADARB1
otud6b	OTUD6B
lrrcc1	LRRCC1
LOC107380314	TMPRSS13
grb14	GRB14
LOC107395225	IL11RA
LOC107386441	KLHL10
anxa5	ANXA5
csgr04h4orf48	C4orf48
LOC107386618	TMEM88
LOC107396587	TAF10
znf839	ZNF839
gpsm2	GPSM2
usp43	USP43
itpka	ITPKA
LOC107378960	PRRT1
LOC107384358	KIAA1217
slc16a7	SLC16A7
LOC107376118	UBE2K
LOC107376462	SOX8
proser3	PROSER3
zdhhc1	ZDHHC1
emc3	EMC3
LOC107387252	WAPL
LOC107391198	NOL4L
LOC107374776	NTNG2
LOC107389703	STAG2
LOC107394574	KCNN3
LOC107379298	SIGLEC14
psmd2	PSMD2
LOC107392864	OCLN
LOC107389298	TINF2
LOC107385745	KCNB1
tdrd9	TDRD9
LOC107397287	ZNF226
LOC107375881	PANK1
LOC107380938	NRG2
LOC107392625	ABCA1
LOC107377705	RPL36A
casc4	CASC4
LOC107377018	COL4A6
ttc39c	TTC39C
reep1	REEP2
capn6	CAPN5
txndc15	TXNDC15
LOC107387818	GPX5
LOC107379816	CLDN4
taf12	TAF12
LOC107375520	XPO1
znf292	ZNF292
LOC107376962	ZNF536
ppp1r13l	TP53BP2
LOC107373426	KPNB1
rims1	RIMS1
neurod1	NEUROD1
rps2	RPS2
LOC107373192	HLA-DPA1
LOC107387955	ADPRH
LOC107387775	PTPRE
kcnj3	KCNJ3
LOC107377151	SLC12A3
hoxa2	HOXA2
LOC107376168	C17orf97
LOC107394779	GPR12
LOC107385170	RHO
twist1	TWIST2
rp1l1	RP1L1
LOC107381497	ANXA2
dvl3	DVL3
LOC107383900	GPT
LOC107386121	GIMAP7
slc3a2	SLC3A2
tkt	TKT
LOC107386458	SPTBN1
LOC107389029	PTPRJ
purg	PURG
LOC107383135	CLDN11
nr5a1	NR5A2
sstr2	SSTR2
hint1	HINT1
LOC107390843	DTX3
LOC107383630	ZBED4
mis18bp1	MIS18BP1
LOC107385125	ITIH4
LOC107380652	CASR
LOC107387522	HTR3A
LOC107379583	KLHL3
ttll1	TTLL1
LOC107390240	DHRSX
kars	KARS
LOC107390166	MAP3K19
LOC107375976	GPR26
rnf20	RNF40
LOC107391339	KRT8
csgr10h3orf18	C3orf18
LOC107380284	SLC30A1
ap4m1	AP4M1
LOC107376484	PCDHA3
LOC107375655	TMEM42
LOC107374586	THAP11
LOC107395602	ZKSCAN2
LOC107377977	ADCY3
msmp	MSMP
LOC107393834	ALDH3B1
atg4c	ATG4C
LOC107372357	CD53
aass	AASS
LOC107379469	ZNF282
myo5b	MYO5B
LOC107388506	PARP6
atp6v1d	ATP6V1D
LOC107391434	FAM110B
LOC107396813	KIF5C
LOC107391316	CHRNA4
LOC107396711	GRIN3A
LOC107386077	ODF2
aimp1	AIMP1
ripk2	RIPK2
LOC107394533	CRAT
lin52	LIN52
LOC107379738	ECM1
LOC107388876	TMEM53
LOC107395752	CNOT3
LOC107380583	CASR
LOC107392056	BDKRB2
LOC107380899	FAM184A
LOC107394134	ATP5A1
LOC107387781	ADAM12
me2	ME2
cd200r1	CD200R1
LOC107380332	LAYN
tlr5	TLR5
cux1	CUX1
cald1	CALD1
LOC107378356	CADM4
LOC107376769	CACNA1H
LOC107388895	ARPC1A
cnih1	CNIH1
LOC107373763	HIBADH
prox1	PROX1
LOC107395029	NUPR2
LOC107375954	PHYHIPL
xkr8	XKR8
cntln	CNTLN
ncor1	NCOR1
LOC107386224	CAMK2B
kmt2e	KMT2E
fancf	FANCF
LOC107376570	PVALB
LOC107384045	METTL7A
LOC107382350	PRR36
LOC107397249	ANKIB1
tbkbp1	TBKBP1
LOC107378497	KMT5C
LOC107396551	ZNF609
ndufa2	NDUFA2
LOC107374121	ZBED9
wnt10b	WNT10B
LOC107378229	ZMYM1
ssrp1	SSRP1
LOC107392083	PLPPR3
fjx1	FJX1
smad2	SMAD2
LOC107387312	PSD
LOC107387206	PLEKHB1
fbln2	FBLN2
LOC107393308	HSD11B1L
epha5	EPHA5
LOC107392098	ELAVL1
gpd2	GPD2
ano3	ANO3
rab13	RAB13
bfsp1	BFSP1
naa15	NAA15
cdk2	CDK2
fam19a5	FAM19A5
mfsd3	MFSD3
spdya	SPDYA
LOC107391886	NEFL
LOC107388280	UTS2R
LOC107387291	TMEM110
LOC107396553	NTRK3
LOC107382280	B3GNT2
LOC107395431	PLCD4
rbks	RBKS
csgr13h15orf61	C15orf61
LOC107388273	SSTR2
ogn	OGN
LOC107378795	NCOA7
LOC107373991	SLC25A25
LOC107387636	ANK3
st8sia1	ST8SIA1
LOC107387581	CTSE
zdhhc8	ZDHHC8
LOC107392974	RNF14
tlk1	TLK1
zmiz1	ZMIZ1
LOC107391632	APOH
oaf	OAF
LOC107395265	ADGRB1
LOC107381024	IRS2
LOC107394957	APOA4
LOC107384308	SORL1
st7l	ST7
bre	BRE
slc16a4	SLC16A4
stk10	STK10
LOC107381124	ATP11A
LOC107395682	FRMD1
LOC107391113	DLGAP4
rnf7	RNF7
LOC107396774	PGBD4
wnt5a	WNT5A
wrap53	WRAP53
dek	DEK
btf3	BTF3
LOC107387874	ITGB3
LOC107374976	ATP6V1G1
ikbip	IKBIP
LOC107382636	MCUR1
LOC107385264	TNFRSF1B
sf3b6	SF3B6
LOC107373477	NLRP12
vamp1	VAMP1
dda1	DDA1
fbxo31	FBXO31
rab3gap1	RAB3GAP1
map3k7cl	MAP3K7CL
LOC107394124	ITSN1
LOC107373012	HSPB6
cbl	CBL
LOC107375313	MYOZ2
kifc3	KIFC3
kiaa1109	KIAA1109
LOC107392446	RYR3
LOC107391128	IL17RE
LOC107391504	USP11
rtn4rl2	RTN4RL2
thoc6	THOC6
unc45b	UNC45B
LOC107377033	RBM4
LOC107390237	COL2A1
siae	SIAE
LOC107395877	SLIT2
mapk8ip3	MAPK8IP3
LOC107380591	CASR
shc2	SHC2
LOC107381011	SFTPD
naa10	NAA10
LOC107380340	SPATA5
tasp1	TASP1
LOC107377793	SYNE2
mfge8	EDIL3
mre11a	MRE11A
alkbh4	ALKBH4
LOC107390979	OR52E8
psme1	PSME1
LOC107389880	SLIT1
LOC107383016	TMEM56
LOC107373935	ANPEP
ccdc77	CCDC77
LOC107396487	MEF2B
bcas3	BCAS3
gas6	GAS6
LOC107384345	KCNB2
tmem68	TMEM68
LOC107385762	CDKN1A
prkag3	PRKAG3
flt1	FLT1
mettl6	METTL6
LOC107386354	OVOL1
rara	RARB
caap1	CAAP1
yipf5	YIPF5
tbx1	TBX1
LOC107384215	RNF220
LOC107373213	ATP7B
phkb	PHKB
qtrt2	QTRTD1
adat3	ADAT3
LOC107395318	C18orf8
mrpl32	MRPL32
LOC107397019	ATP13A3
LOC107392487	INAFM1
slc38a7	SLC38A7
rnft2	RNFT2
LOC107393648	ZNF787
LOC107376651	NME4
rabggtb	RABGGTB
LOC107374936	SYNGAP1
srpx2	SRPX2
gna12	GNA12
mrpl45	MRPL45
hey1	HEY1
med29	MED29
cldn5	CLDN5
LOC107386166	GRIN1
parm1	PARM1
pofut1	POFUT1
LOC107385227	HYAL1
ctnnal1	CTNNAL1
lrig1	LRIG1
LOC107389102	PDE4B
agps	AGPS
LOC107394264	SLC25A1
npepl1	NPEPL1
LOC107396801	PEG10
LOC107384790	ZSCAN20
LOC107385127	IL17RC
LOC107395461	HMGB2
pglyrp2	PGLYRP2
cd82	CD82
LOC107397106	DNTT
slc23a1	SLC23A1
suz12	SUZ12
ephb6	EPHB2
sdhaf3	SDHAF3
abcg5	ABCG5
LOC107397321	ATP6V0C
fbxo15	FBXO15
rad23a	RAD23A
LOC107397307	FUT7
pcif1	PCIF1
bricd5	BRICD5
m6pr	M6PR
robo3	ROBO2
LOC107380004	DIABLO
setd6	SETD6
cry1	CRY1
LOC107388293	SPAG9
ccnc	CCNC
LOC107387978	VKORC1
LOC107391596	ALDH3B1
LOC107383730	OR13C2
LOC107373111	ZNF568
LOC107386292	UGT2A2
LOC107387191	OMP
LOC107376472	CYP2W1
LOC107376350	PCDHA8
vps29	VPS29
LOC107372749	LOXL2
sec13	SEC13
LOC107387297	FMNL3
LOC107392429	ZFYVE1
LOC107375334	GPRC5B
clu	CLU
dnase2	DNASE2
znf827	ZNF827
LOC107382025	THAP6
LOC107394100	PGBD4
syce2	SYCE2
LOC107382407	MORN4
LOC107373629	GAL3ST1
pard3b	PARD3B
LOC107394048	TMED7
LOC107391582	STXBP4
gpx7	GPX7
fmod	FMOD
vit	VIT
lhx8	LHX8
wdr46	WDR46
LOC107386780	GABRA1
LOC107383869	AGAP3
LOC107395921	ZNF135
fam63a	FAM63A
LOC107374829	SV2C
wdfy3	WDFY3
trmt10a	TRMT10A
sgsm1	SGSM1
hbs1l	HBS1L
LOC107390557	OPRL1
LOC107388567	CDIP1
LOC107391265	RAD21L1
LOC107374329	PLAUR
erc2	ERC2
cytip	CYTIP
opa1	OPA1
syt11	SYT11
LOC107380972	ZNF235
LOC107374434	MUC3A
abhd14a	ABHD14A
LOC107387208	NCAM1
LOC107384265	PLCD1
galnt2	GALNT2
LOC107381737	EDIL3
LOC107388857	CRY2
LOC107373326	HAND2
LOC107393528	AP3M2
LOC107395561	NOTCH1
LOC107386249	NIPSNAP1
znf326	ZNF326
LOC107385037	PKP1
LOC107396014	SLC25A1
LOC107378118	SLC23A1
ciapin1	CIAPIN1
LOC107389017	USP6NL
ttll12	TTLL12
msmb	MSMB
tdp2	TDP2
LOC107375622	PAOX
LOC107393463	LTA
keap1	KEAP1
snx10	SNX10
LOC107373725	RGS21
fgfr1op	FGFR1OP
LOC107379644	SPACA4
LOC107376732	MYO15A
adm2	ADM2
nkx2-5	NKX2-5
LOC107394700	ARRDC3
pax4	PAX4
traf3ip1	TRAF3IP1
LOC107379068	SCN3B
LOC107383905	INS
LOC107376341	PCDH10
LOC107378663	FXYD6-FXYD2
pcyt2	PCYT2
LOC107382817	SLC22A13
LOC107388697	TRIM39
steap4	STEAP4
LOC107378896	COL6A6
LOC107373898	NUP54
anapc2	ANAPC2
LOC107391522	SLC2A1
LOC107385100	TWF2
LOC107395010	PSMA6
tmem255b	TMEM255B
LOC107383156	LARP4B
plxnb2	PLXNB2
ppfia4	PPFIA4
exo1	EXO1
LOC107390738	CNTN4
mfsd9	MFSD9
tmx1	TMX1
LOC107380922	EBF3
LOC107372465	INADL
LOC107384328	ST6GAL1
LOC107387577	ALDH18A1
ncs1	NCS1
lpin1	LPIN1
secisbp2l	SECISBP2L
LOC107396881	PCDHB16
LOC107374002	ZNF568
rnf121	RNF121
aup1	AUP1
mmadhc	MMADHC
irx6	IRX6
glce	GLCE
LOC107386157	PPIF
prmt1	PRMT1
klhl30	KLHL30
slc22a23	SLC22A23
tmem214	TMEM214
igsf9b	IGSF9B
LOC107388628	AQP9
LOC107378336	MYH1
LOC107373558	ASRGL1
LOC107396118	SLC7A9
LOC107390954	SPIC
LOC107386041	SET
LOC107388829	CERS2
LOC107372770	KIAA1324L
LOC107395585	SEZ6L
LOC107381055	GABRA5
LOC107396475	GIMAP7
LOC107377225	KIAA1456
commd3	COMMD3
LOC107387235	CBX2
LOC107374756	PABPC3
LOC107392676	GP5
LOC107388536	TMEM189
LOC107377524	FOS
naf1	NAF1
LOC107377958	TMEM30A
LOC107394353	STK10
ppm1a	PPM1A
aacs	AACS
pcnx2	PCNXL2
LOC107381444	ALX4
acadm	ACADM
tmem231	TMEM231
dynlrb2	DYNLRB2
LOC107374203	ZNF595
LOC107389726	KLF5
psap	PSAP
LOC107388608	C3orf18
dmbx1	DMBX1
nub1	NUB1
mdh2	MDH2
LOC107381785	SIN3A
sun1	SUN1
LOC107373674	APEH
rdh5	RDH16
oc90	OC90
LOC107387710	CELA2A
LOC107381092	ZP3
LOC107380025	FAT4
ncoa4	NCOA4
LOC107377075	CHRNA3
herc3	HERC3
clta	CLTB
mxd4	MXD4
znf513	ZNF513
LOC107373987	ZXDC
LOC107377196	C7orf57
adcy7	ADCY2
LOC107383111	GABRR3
LOC107378953	LY75
rps17	RPS17
med4	MED4
LOC107387167	SLCO2B1
LOC107391553	PEG10
tpcn2	TPCN2
arl16	ARL16
LOC107372316	SLC9A2
LOC107394972	ANXA2
sez6	SEZ6
ypel1	YPEL1
LOC107383364	HOXC4
anks6	ANKS6
LOC107385094	TMCC1
LOC107383624	IGDCC3
LOC107392325	SCUBE1
LOC107379890	EXOC3L2
paqr5	PAQR5
stag1	STAG1
LOC107374912	OLFML3
ascc2	ASCC2
hcfc1	HCFC1
csgr17h1orf21	C1orf21
LOC107394756	AUNIP
LOC107379353	MAP3K5
tex30	TEX30
LOC107378278	TTYH2
LOC107389398	PARP14
LOC107386106	FBP1
LOC107375059	TDGF1
LOC107390476	NXNL1
LOC107374348	FGFBP2
ric8b	RIC8B
rnf157	RNF157
fam117a	FAM117A
baz2b	BAZ2B
LOC107386302	TSC1
LOC107381232	USH2A
ict1	ICT1
blm	BLM
LOC107379532	C1R
LOC107379435	SLIT3
LOC107373386	MYO7A
ndufa13	NDUFA13
LOC107376833	ZNF84
greb1l	GREB1L
glra1	GLRA1
znf532	ZNF532
LOC107397096	FMO5
LOC107397271	TSPAN33
nek1	NEK1
pxylp1	PXYLP1
LOC107375090	IQCG
LOC107374486	ZNF84
fbxo42	FBXO42
smarcb1	SMARCB1
LOC107390197	BZW1
LOC107382232	RNF11
tmem167a	TMEM167A
rax2	RAX
adrb1	ADRB1
LOC107382155	TBC1D1
pdp1	PDP1
mapk6	MAPK6
LOC107376577	CACNG1
dhrs1	DHRS1
LOC107381042	TMEM163
LOC107391814	CYB561
LOC107391428	TNNC2
LOC107375033	STXBP1
bphl	BPHL
LOC107380858	ZNF292
LOC107385556	DNAJC16
LOC107382189	EXOC1
galnt12	GALNT12
polr2c	POLR2C
LOC107384486	KCNMB3
LOC107375753	FBXO11
enpp6	ENPP6
slc25a18	SLC25A22
LOC107393747	ANTXR2
LOC107391237	VSTM2L
LOC107391157	NCOA3
celsr1	CELSR1
fam131a	FAM131A
LOC107375583	PDZD7
tceb3	TCEB3
LOC107395425	COL15A1
txn2	TXN2
podxl	PODXL
rhpn2	RHPN2
LOC107382810	SLC35G2
LOC107372959	SMTNL1
hapln4	HAPLN4
LOC107374466	PKIB
npr3	NPR3
lsm12	LSM12
LOC107382875	ST14
LOC107376867	REG4
LOC107377404	PIM1
zfand3	ZFAND3
mid1	MID1
ttc8	TTC8
LOC107374633	PNMA1
LOC107372332	HSPA12A
ndufs7	NDUFS7
LOC107385580	MAP4K4
LOC107382047	B3GALT2
pdcd4	PDCD4
sdhb	SDHB
polr3a	POLR3A
pacrg	PACRG
LOC107376679	YPEL3
LOC107389634	TRIM21
LOC107374613	BTN3A3
ankk1	ANKK1
bnip3	BNIP3
LOC107388621	PRKCB
gal3st1	GAL3ST1
cdpf1	CDPF1
med19	MED19
cnga2	CNGA2
LOC107395506	F2RL2
LOC107385560	MAPK14
pi4kb	PI4KB
LOC107396198	GNAO1
LOC107382781	TTN
tpr	TPR
LOC107393121	PRR16
LOC107384239	AP1G1
abt1	ABT1
LOC107378715	ZNF235
LOC107386699	H2AFY
LOC107378978	DTNBP1
otud3	OTUD3
zdhhc14	ZDHHC14
top3a	TOP3A
LOC107385050	SLC5A8
itfg2	ITFG2
LOC107386411	LIPH
tbxa2r	TBXA2R
macrod1	MACROD1
LOC107373784	OPN4
LOC107381991	ZNF235
cct8	CCT8
LOC107372346	AMBP
LOC107382301	LDLR
tmem41b	TMEM41B
det1	DET1
agfg1	AGFG1
LOC107376653	SLC17A7
LOC107375935	SPARC
LOC107388915	WNK1
klhl24	KLHL24
LOC107381159	ATP5G3
irf2bp1	IRF2BP1
slc13a3	SLC13A3
LOC107372320	GADD45A
LOC107377022	BTN1A1
LOC107373025	WFIKKN2
smarcd3	SMARCD3
LOC107380735	DHRS13
LOC107384286	CXCR4
LOC107388830	ANO1
smc5	SMC5
cog2	COG2
LOC107383415	ESYT2
triqk	TRIQK
ndufaf2	NDUFAF2
LOC107389175	CYP2J2
pde7a	PDE7A
LOC107394958	APOA4
lpcat4	LPCAT4
acbd3	ACBD3
fam131c	FAM131C
LOC107387648	TSPAN8
lrrc31	LRRC31
LOC107384253	ZNF658
LOC107386886	MNT
LOC107375705	NFU1
agap2	AGAP2
smim18	SMIM18
pou4f2	POU4F2
lysmd1	LYSMD1
trappc6b	TRAPPC6B
LOC107372763	SSX2IP
f2	F2
smarcc2	SMARCC2
ccdc66	CCDC66
LOC107386726	RELL2
LOC107377074	DOCK9
cnksr1	CNKSR1
LOC107378149	CYP46A1
lman1	LMAN1
LOC107377560	STX11
LOC107377528	DRC1
ero1a	ERO1A
LOC107384557	SNX9
LOC107374250	PSD3
LOC107375041	LMO4
LOC107378818	MC2R
LOC107377626	OTOF
plcl2	PLCL2
mpp3	MPP3
angptl3	ANGPTL3
LOC107374413	ZNF569
nsun5	NSUN5
LOC107374116	ASB6
LOC107390786	GSTM3
tial1	TIAL1
LOC107372689	ZNF235
matn4	MATN4
atp2b3	ATP2B3
LOC107389372	SDPR
