Metabolite,Biocyc_query,biocyc_short_names,biocyc_full_names,MetaboAnalist,HMDB,KEGG,final,paper.short
PHENYLALANINE,L-Phenylalanine,PHE,L-phenylalanine,L-Phenylalanine,HMDB00159,C00079,Phenylalanine,0
PROLINE,L-Proline,PRO,L-proline,L-Proline,HMDB00162,C00148,Proline,0
SERINE,L-Serine,SER,L-serine,L-Serine,HMDB00187,C00065,Serine,0
TRYPTOPHAN,L-Tryptophan,TRP,L-tryptophan (trp),L-Tryptophan,HMDB00929,C00078,Tryptophan,0
TYROSINE,L-Tyrosine,TYR,L-tyrosine,L-Tyrosine,HMDB0000158,C00082,Tyrosine,0
Leu-Ala,Leu-Ala,CPD-20380,L-leucyl-L-alanine,Leucyl-Alanine,HMDB0028922,0,Leu-Ala,0
Leu-Gly,Leu-Gly,CPD0-2555,L-leucyl-glycine,Leucyl-Glycine,HMDB0028929,0,Leu-Gly,0
Levulinic acid,Levulinic acid,CPD-16942,4-oxopentanoate,Levulinic acid,HMDB0000720,0,Levulinate,0
MALEIMIDE,MALEIMIDE,0,0,0,0,C07272,0,0
Malic acid,Malic acid,RS-Malate,(RS)-malate,Malic acid,HMDB0000744,C00149,Malic acid,0
Maltotriose,Maltotriose,MALTOTRIOSE,maltotriose,Maltotriose,HMDB01262,C01835,Maltotriose,0
L-Methionine sulfoxide,Methionine sulfoxide,CPD-8990,L-methionine-(R)-S-oxide,Methionine sulfoxide,HMDB0002005,C02989,Methionine sulfoxide,0
METHYL GALACTOSIDE,Methyl beta-D-glucopyranoside,CPD-3570,methyl ?-D-glucoside,Methyl beta-D-glucopyranoside,HMDB29965,C03619,Methyl beta-D-Glucopyranoside,0
Myo-Inositol,myo-Inositol,MYO-INOSITOL,myo-inositol,myo-Inositol,HMDB00211,C00137,myo-Inositol,0
N-ACETYLALANINE,N-Acetyl-L-alanine,CPD-20331,N-acetyl-L-alanine,N-Acetyl-L-alanine,HMDB0000766,0,N-Acetyl-L-Alanine,0
N-Acetyl-L-aspartic acid,N-Acetyl-L-aspartic acid,CPD-420,N-acetyl-L-aspartate,N-Acetyl-L-aspartic acid,HMDB0000812,C01042,N-Acetyl-L-Aspartic Acid,0
N-Acetyl-L-methionine,N-Acetyl-L-methionine,CPD0-2015,N-acetyl-L-methionine,N-Acetyl-L-methionine,HMDB0011745,C02712,N-Acetyl-L-Methionine,0
N-ACETYLNEURAMINATE,N-Acetylneuraminate,N-ACETYLNEURAMINATE,N-acetylneuraminate,N-Acetylneuraminic acid,HMDB00230,C00270,N-Acetylneuraminate,0
N-METHYLGLUTAMATE,N-methyl-L-glutamate,CPD-404,N-methyl-L-glutamate,N-methyl-L-glutamic Acid,HMDB0062660,C01046,N-Methyl-L-Glutamate,0
NICOTINAMIDE,Niacinamide,NIACINAMIDE,nicotinamide,Niacinamide,HMDB01406,C00153,Niacinamide,0
O-ACETYLSERINE,O-Acetylserine,ACETYLSERINE,O-acetyl-L-serine,O-Acetylserine,HMDB03011,C00979,O-Acetylserine,0
O-PHOSPHOETHANOLAMINE,O-Phosphoethanolamine,PHOSPHORYL-ETHANOLAMINE,O-phosphoethanolamine,O-Phosphoethanolamine,HMDB00224,C00346,O-Phosphoethanolamine,0
OPHTHALMATE,OPHTHALMATE,CPD-20340,ophthalmate,Ophthalmic acid,HMDB05765,C21016,Ophthalmate,0
OXALATE,Oxalic acid,OXALATE,oxalate,Oxalic acid,HMDB02329,C00209,Oxalate,0
PANTOTHENATE,PANTOTHENATE,PANTOTHENATE,(R)-pantothenate,Pantothenic acid,HMDB0000210,C00864,Pantothenate,0
Phe-Gly,Phe-Gly,0,0,Phenylalanyl-Glycine,HMDB0028995,0,0,0
PHENYLACETATE,PHENYLACETATE,0,0,Phenylacetic acid,HMDB0000209,C07086,0,0
N-(phenylacetyl)glycine,phenylacetylglycine,0,0,Phenylacetylglycine,HMDB0000821,C05598,0,0
Phenylglyoxylic acid,Phenylglyoxylic acid,PHENYLGLYOXYLATE,phenylglyoxylate,Phenylglyoxylic acid,HMDB0001587,C02137,Phenylglyoxylate,0
Phenylpyruvic acid,Phenylpyruvic acid,PHENYL-PYRUVATE,3-phenyl-2-oxopropanoate,Phenylpyruvic acid,HMDB0000205,C00166,Phenylpyruvate,0
PHOSPHOENOLPYRUVATE,Phosphoenolpyruvic acid,0,0,Phosphoenolpyruvic acid,HMDB0000263,C00074,0,0
Phosphoric acid,Phosphoric acid,CPD-20124,phosphoric acid,Phosphoric acid,HMDB0001429,C00009,Phosphoric acid,0
PHOSPHORYLCHOLINE,PHOSPHORYL-CHOLINE,PHOSPHORYL-CHOLINE,phosphocholine,Phosphorylcholine,HMDB0001565,C00588,Phosphocholine,0
Pseudouridine,Pseudouridine,CPD-497,pseudouridine,Pseudouridine,HMDB00767,C02067,Pseudouridine,0
PYROGLUTAMATE,Pyroglutamic acid,5-OXOPROLINE,5-oxo-L-proline,Pyroglutamic acid,HMDB00267,C01879,Pyroglutamate,0
Pyruvic acid,Pyruvic acid,PYRUVATE,pyruvate,Pyruvic acid,HMDB0000243,C00022,Pyruvate,Pyruvate
S-ADENOSYLHOMOCYSTEINE,S-Adenosylhomocysteine,ADENOSYL-HOMO-CYS,S-adenosyl-L-homocysteine (SAH),S-Adenosylhomocysteine,HMDB00939,C00021,S-Adenosylhomocysteine,0
SALICYLATE,salicylate,CPD-110,salicylate,Salicyluric acid,HMDB01895,C00805,Salicylate,0
SARCOSINE,Sarcosine,SARCOSINE,sarcosine,Sarcosine,HMDB00271,C00213,Sarcosine,0
Dodecyl sulfate,sodium dodecyl sulfate,CPD-16983,sodium dodecyl sulfate,0,HMDB0005004,C11166,Sodium dodecyl sulfate,0
STACHYOSE,Stachyose,CPD-170,stachyose,Stachyose,HMDB0003553,C01613,Stachyose,0
SUBERATE,Suberic acid,0,0,Suberic acid,HMDB0000893,C08278,0,0
SUCCINATE,Succinic acid,SUC,succinate,Succinic acid,HMDB0000254,C00042,Succinate,Suc
Sucrose,Sucrose,0,0,Sucrose,HMDB0000258,C00089,0,0
TAURINE,Taurine,TAURINE,taurine,Taurine,HMDB00251,C00245,Taurine,0
Taurohyodeoxycholate,taurodeoxycholate,CPD-12457,taurodeoxycholate,Taurodeoxycholate,HMDB0000896,C05463,Turodeoxycholate,0
Threonic acid,Threonic acid,L-THREONATE,L-threonate,Threonic acid,HMDB0000943,C01620,Threonate,0
TRANS-4-HYDROXY-L-PROLINE,TRANS-4-HYDROXY-L-PROLINE,4-HYDROXY-L-PROLINE,trans-4-hydroxy-L-proline (Hyp),4-Hydroxyproline,HMDB00725,C01157,Trans-4-Hydroxy-L-Proline,0
URIDINE DIPHOSPHATE GLUCOSE,UDP-alpha-D-glucose,CPD-12575,UDP-?-D-glucose,Uridine diphosphate glucose,HMDB00286,C00029,UDP-alpha-D-Glucose,0
CYTIDINE MONOPHOSPHATE,UDP-GLUCURONATE,UDP-GLUCURONATE,UDP-?-D-glucuronate,UDPglucuronate,HMDB00935,C00167,UDP-Glucuronate,0
URACIL,Uracil,URACIL,uracil,Uracil,HMDB00300,C00106,Uracil,0
Uric acid,Uric acid,CPD-15332,"9H-purine-2,6,8-triol",Uric acid,HMDB0000289,C00366,Uric acid,0
URIDINE,Uridine,URIDINE,uridine,Uridine,HMDB00296,C00299,Uridine,0
Uridine 5'-monophosphate,Uridine 5'-monophosphate,UMP,UMP,Uridine 5'-monophosphate,HMDB0000288,C00105,UMP,0
URIDINE DIPHOSPHATE-N-ACETYLGLUCOSAMINE,Uridine diphosphate-N-acetylglucosamine,UDP-N-ACETYL-D-GLUCOSAMINE,UDP-N-acetyl-?-D-glucosamine,Uridine diphosphate-N-acetylglucosamine,HMDB00290,C00043,Uridine diphosphate-N-Acetylglucosamine,0
URIDINE DIPHOSPHATE GLUCURONIC ACID,Uridine diphosphate glucuronic acid,UDP-GLUCURONATE,UDP-?-D-glucuronate,Uridine diphosphate glucuronic acid,HMDB0000935,C00167,Uridine diphosphate Glucuronic Acid,0
XANTHINE,Xanthine,XANTHINE,xanthine,Xanthine,HMDB00292,C00385,Xanthine,0
